productName,HS92_code,countryTrade,worldTrade,valueRCA,sector,countryTrade_M,worldTrade_M,worldTrade_B,code,year,valuePCI
Animal products n.e.c.,0511 HS92,$5.59M,$816M,0.416,Agriculture,5.59,816,0.816,0511,1995,-1.0372072
Flower bulbs,0601 HS92,$28.5k,$801M,0.0021,Agriculture,0.0285,801,0.801,0601,1995,-0.19981451
Other live plants,0602 HS92,$1.93M,$3.08B,0.0378,Agriculture,1.93,3080,3.08,0602,1995,-1.0576624
Cut flowers,0603 HS92,$140k,$3.71B,0.0023,Agriculture,0.14,3710,3.71,0603,1995,-1.5117728
Other parts of plants,0604 HS92,$57.6k,$584M,0.0059,Agriculture,0.0576,584,0.584,0604,1995,-1.0399415
Potatoes,0701 HS92,$3.44M,$2.37B,0.0867,Agriculture,3.44,2370,2.37,0701,1995,-0.48102114
Tomatoes,0702 HS92,$144k,$2.67B,0.0032,Agriculture,0.144,2670,2.67,0702,1995,-0.52420187
"Onions, shallots, garlic",0703 HS92,$184k,$1.64B,0.0068,Agriculture,0.184,1640,1.64,0703,1995,-1.3644816
"Cabbages, cauliflowers, broccoli",0704 HS92,$36.1k,$888M,0.0024,Agriculture,0.0361,888,0.888,0704,1995,-0.42915213
Lettuce,0705 HS92,$67.9k,$942M,0.0043,Agriculture,0.0679,942,0.942,0705,1995,-0.02989957
Carrots & turnips,0706 HS92,$7.58k,$531M,0.0009,Agriculture,0.00758,531,0.531,0706,1995,-0.2550764
Cucumbers,0707 HS92,$72.9k,$899M,0.0048,Agriculture,0.0729,899,0.899,0707,1995,-0.5589929
Legumes,0708 HS92,$141k,$423M,0.0207,Agriculture,0.141,423,0.423,0708,1995,-1.7378827
Other vegetables,0709 HS92,$434k,$3.67B,0.0072,Agriculture,0.434,3670,3.67,0709,1995,-1.1743368
Frozen vegetables,0710 HS92,$433k,$2.08B,0.0129,Agriculture,0.433,2080,2.08,0710,1995,-1.0330391
"Vegetables, dried",0712 HS92,$11.8M,$1.19B,0.646,Agriculture,11.8,1190,1.19,0712,1995,-1.0021502
"Legumes, dried",0713 HS92,$1.21M,$2.69B,0.0272,Agriculture,1.21,2690,2.69,0713,1995,-1.5721581
Tubers,0714 HS92,$7.13k,$656M,0.0007,Agriculture,0.00713,656,0.656,0714,1995,-2.0198739
Cashew nuts & coconuts,0801 HS92,$471k,$1.09B,0.0271,Agriculture,0.471,1090,1.09,0801,1995,-2.484654
Other nuts,0802 HS92,$1.67M,$3.20B,0.0315,Agriculture,1.67,3200,3.2,0802,1995,-1.5598769
Bananas and plantains,0803 HS92,$8.92k,$5.66B,0.0001,Agriculture,0.00892,5660,5.66,0803,1995,-1.5383224
"Avocados, pineapples, mangos, etc.",0804 HS92,$132k,$1.49B,0.0054,Agriculture,0.132,1490,1.49,0804,1995,-1.9554683
Citrus fruit,0805 HS92,$245k,$5.10B,0.0029,Agriculture,0.245,5100,5.1,0805,1995,-0.9716253
Grapes,0806 HS92,$288k,$2.82B,0.0062,Agriculture,0.288,2820,2.82,0806,1995,-0.8263337
Melons and papayas,0807 HS92,$44.0k,$1.14B,0.0023,Agriculture,0.044,1140,1.14,0807,1995,-1.4865156
Apples & pears,0808 HS92,$396k,$4.05B,0.0059,Agriculture,0.396,4050,4.05,0808,1995,-0.043771904
Peaches & cherries,0809 HS92,$1.21M,$1.75B,0.0416,Agriculture,1.21,1750,1.75,0809,1995,-0.49093404
Other fresh fruit,0810 HS92,$133k,$2.16B,0.0037,Agriculture,0.133,2160,2.16,0810,1995,-0.9986709
"Fruits and nuts, frozen",0811 HS92,$1.30M,$1.02B,0.0764,Agriculture,1.3,1020,1.02,0811,1995,-0.6917651
"Fruits, dried",0813 HS92,$999k,$604M,0.0998,Agriculture,0.999,604,0.604,0813,1995,-0.967722
Coffee,0901 HS92,$29.6M,$14.1B,0.127,Agriculture,29.6,14100,14.1,0901,1995,-2.3171508
Tea,0902 HS92,$5.49M,$1.97B,0.17,Agriculture,5.49,1970,1.97,0902,1995,-2.1557043
Pepper,0904 HS92,$495k,$890M,0.0336,Agriculture,0.495,890,0.89,0904,1995,-1.4356995
Spices,0910 HS92,$3.51M,$460M,0.483,Agriculture,3.51,460,0.46,0910,1995,-1.582934
Wheat and meslin,1001 HS92,$2.82M,$18.0B,0.0093,Agriculture,2.82,18000,18,1001,1995,-0.15220036
Barley,1003 HS92,$10.2M,$3.02B,0.205,Agriculture,10.2,3020,3.02,1003,1995,0.098249756
Corn,1005 HS92,$3.12M,$11.0B,0.0171,Agriculture,3.12,11000,11,1005,1995,-1.3164732
Rice,1006 HS92,$2.78M,$6.80B,0.0253,Agriculture,2.78,6800,6.8,1006,1995,-1.7022479
Wheat or meslin flour,1101 HS92,$1.88M,$2.29B,0.0496,Agriculture,1.88,2290,2.29,1101,1995,-0.5199433
Cereal meals,1103 HS92,$218k,$493M,0.0264,Agriculture,0.218,493,0.493,1103,1995,-0.518672
Worked cereal grains,1104 HS92,$2.04M,$1.27B,0.0968,Agriculture,2.04,1270,1.27,1104,1995,-0.99991065
Malt,1107 HS92,$163k,$1.57B,0.0062,Agriculture,0.163,1570,1.57,1107,1995,0.15249227
Starches,1108 HS92,$377k,$1.16B,0.0196,Agriculture,0.377,1160,1.16,1108,1995,-0.16956836
Soya beans,1201 HS92,$1.03M,$7.64B,0.0081,Agriculture,1.03,7640,7.64,1201,1995,-1.1450173
Peanuts,1202 HS92,$1.30M,$1.06B,0.0741,Agriculture,1.3,1060,1.06,1202,1995,-1.5223854
Rape or colza seeds,1205 HS92,$2.44k,$1.69B,0.0001,Agriculture,0.00244,1690,1.69,1205,1995,-0.001721773
Sunflower seeds,1206 HS92,$587k,$1.08B,0.0325,Agriculture,0.587,1080,1.08,1206,1995,-0.6559567
Other oil seeds,1207 HS92,$8.55M,$947M,0.557,Agriculture,8.55,947,0.947,1207,1995,-2.193315
Flours of oil seeds,1208 HS92,$207k,$197M,0.063,Agriculture,0.207,197,0.197,1208,1995,-0.97142303
Seeds used for sowing,1209 HS92,$4.33M,$2.14B,0.124,Agriculture,4.33,2140,2.14,1209,1995,-0.5039134
"Plants used in perfumery, pharmacy or insecticide",1211 HS92,$2.68M,$1.47B,0.122,Agriculture,2.68,1470,1.47,1211,1995,-1.9658632
Seaweeds & edible vegetable products,1212 HS92,$2.85M,$642M,0.286,Agriculture,2.85,642,0.642,1212,1995,-1.642949
Forage products,1214 HS92,$1.37M,$732M,0.111,Agriculture,1.37,732,0.732,1214,1995,-0.40289775
Vegetable saps and extracts,1302 HS92,$70.3M,$1.89B,2.25,Agriculture,70.3,1890,1.89,1302,1995,-1.0463032
"Bovine, sheep and goat fats",1502 HS92,$383k,$1.15B,0.0199,Agriculture,0.383,1150,1.15,1502,1995,-0.05069004
Fish oils,1504 HS92,$866k,$461M,0.123,Agriculture,0.866,461,0.461,1504,1995,-1.1671363
Soybean oil,1507 HS92,$9.85M,$3.83B,0.155,Agriculture,9.85,3830,3.83,1507,1995,-0.7963605
Olive oil,1509 HS92,$110k,$2.33B,0.0028,Agriculture,0.11,2330,2.33,1509,1995,-1.053187
Palm oil,1511 HS92,$9.16M,$5.08B,0.108,Agriculture,9.16,5080,5.08,1511,1995,-2.550659
Sunflower seed oil,1512 HS92,$52.0M,$2.63B,1.18,Agriculture,52,2630,2.63,1512,1995,-0.3443332
Coconut & palm kernel oil,1513 HS92,$536k,$1.48B,0.022,Agriculture,0.536,1480,1.48,1513,1995,-2.3805816
"Rapeseed, colza or mustard oil,",1514 HS92,$1.57M,$1.82B,0.0519,Agriculture,1.57,1820,1.82,1514,1995,0.8969490999999999
Other vegetable fats and oils,1515 HS92,$7.63M,$1.44B,0.322,Agriculture,7.63,1440,1.44,1515,1995,-1.0479747
"Vegetable fats, hydrogenated",1516 HS92,$1.87M,$1.52B,0.0737,Agriculture,1.87,1520,1.52,1516,1995,-0.27036798
Margarine,1517 HS92,$3.41M,$1.58B,0.13,Agriculture,3.41,1580,1.58,1517,1995,-0.18671179
"Animal or vegetable fats and oils, processed",1518 HS92,$5.11M,$379M,0.828,Agriculture,5.11,379,0.379,1518,1995,0.6592678000000001
Stearic acid,1519 HS92,$4.25M,$2.49B,0.102,Agriculture,4.25,2490,2.49,1519,1995,0.2599637
Glycerol,1520 HS92,$1.37M,$697M,0.121,Agriculture,1.37,697,0.697,1520,1995,-1.3434693
Sausages,1601 HS92,$956k,$1.37B,0.0421,Agriculture,0.956,1370,1.37,1601,1995,0.34103552
Other prepared or preserved meat,1602 HS92,$6.64M,$4.38B,0.0911,Agriculture,6.64,4380,4.38,1602,1995,-0.30539787
Prepared or preserved fish,1604 HS92,$3.58M,$5.79B,0.0389,Agriculture,3.58,5790,5.79,1604,1995,-1.4730058
Prepared aquatic invertibrates,1605 HS92,$333k,$3.17B,0.007,Agriculture,0.333,3170,3.17,1605,1995,-1.3327855
Sugarcane & sucrose,1701 HS92,$4.17M,$12.7B,0.0204,Agriculture,4.17,12700,12.7,1701,1995,-1.4743783
Other sugars,1702 HS92,$3.66M,$1.67B,0.136,Agriculture,3.66,1670,1.67,1702,1995,0.84108394
Confectionery sugar,1704 HS92,$86.4M,$3.86B,1.35,Agriculture,86.4,3860,3.86,1704,1995,-0.46048856
Cocoa beans,1801 HS92,$5.99M,$2.67B,0.135,Agriculture,5.99,2670,2.67,1801,1995,-2.6587138
Cocoa paste,1803 HS92,$7.68M,$500M,0.914,Agriculture,7.68,500,0.5,1803,1995,-1.467031
Cocoa butter,1804 HS92,$2.47M,$1.52B,0.0968,Agriculture,2.47,1520,1.52,1804,1995,-1.7451401
Cocoa powder,1805 HS92,$379k,$337M,0.067,Agriculture,0.379,337,0.337,1805,1995,-1.4514804
Chocolates,1806 HS92,$293M,$7.80B,2.25,Agriculture,293,7800,7.8,1806,1995,0.68221134
Malt extract,1901 HS92,$83.7M,$3.39B,1.48,Agriculture,83.7,3390,3.39,1901,1995,0.07957969
Pasta,1902 HS92,$28.8M,$2.29B,0.775,Agriculture,28.8,2290,2.29,1902,1995,-0.6517047
Cereal foods,1904 HS92,$11.9M,$1.18B,0.599,Agriculture,11.9,1180,1.18,1904,1995,-0.35971355
Bakery products,1905 HS92,$63.7M,$7.25B,0.528,Agriculture,63.7,7250,7.25,1905,1995,-0.034589108
Pickled fruits and vegetables,2001 HS92,$626k,$667M,0.0565,Agriculture,0.626,667,0.667,2001,1995,-0.9510933
"Tomatoes, prepared or preserved",2002 HS92,$2.24M,$1.68B,0.0795,Agriculture,2.24,1680,1.68,2002,1995,-1.0217946
"Mushrooms, prepared or preserved",2003 HS92,$573k,$888M,0.0397,Agriculture,0.573,888,0.888,2003,1995,-0.7639114
"Other vegetables, frozen",2004 HS92,$267k,$1.81B,0.0088,Agriculture,0.267,1810,1.81,2004,1995,0.27043507
"Other vegetables, prepared or preserved",2005 HS92,$2.81M,$3.65B,0.0464,Agriculture,2.81,3650,3.65,2005,1995,-1.0357498
"Jams, jellies and marmalades",2007 HS92,$15.5M,$777M,1.2,Agriculture,15.5,777,0.777,2007,1995,-0.45297396
"Fruits and nuts, otherwise prepared",2008 HS92,$24.6M,$4.18B,0.356,Agriculture,24.6,4180,4.18,2008,1995,-1.3023548
Fruit juices,2009 HS92,$40.1M,$5.94B,0.407,Agriculture,40.1,5940,5.94,2009,1995,-0.6440874
Coffee extracts,2101 HS92,$72.5M,$2.19B,1.97,Agriculture,72.5,2190,2.19,2101,1995,-0.84609556
Yeasts,2102 HS92,$7.41M,$633M,0.747,Agriculture,7.41,633,0.633,2102,1995,-0.29752743
Sauces and seasonings,2103 HS92,$69.8M,$2.42B,1.83,Agriculture,69.8,2420,2.42,2103,1995,-0.22297145
Soups and broths,2104 HS92,$44.6M,$930M,2.89,Agriculture,44.6,930,0.93,2104,1995,-0.619334
Ice cream,2105 HS92,$3.53M,$1.23B,0.173,Agriculture,3.53,1230,1.23,2105,1995,0.21156861
Food preparations n.e.c.,2106 HS92,$235M,$9.10B,1.56,Agriculture,235,9100,9.1,2106,1995,-0.3744182
Waters,2201 HS92,$5.65M,$1.19B,0.284,Agriculture,5.65,1190,1.19,2201,1995,-0.12218318
"Waters, flavored or sweetened",2202 HS92,$45.2M,$3.16B,0.882,Agriculture,45.2,3160,3.16,2202,1995,-0.30419186
Beer,2203 HS92,$4.38M,$4.65B,0.0567,Agriculture,4.38,4650,4.65,2203,1995,-0.6215381
Wine,2204 HS92,$16.1M,$10.2B,0.0935,Agriculture,16.1,10200,10.2,2204,1995,-0.39196357
Ethyl alcohol > 80%,2207 HS92,$26.4M,$1.68B,0.947,Agriculture,26.4,1680,1.68,2207,1995,-0.5681785
Spirits < 80% alcohol,2208 HS92,$29.6M,$11.0B,0.164,Agriculture,29.6,11000,11,2208,1995,-0.7985857
"Flours of fish, for animal feed",2301 HS92,$2.40M,$2.49B,0.0603,Agriculture,2.4,2490,2.49,2301,1995,-1.5597621
Cereal residues,2302 HS92,$794k,$536M,0.0894,Agriculture,0.794,536,0.536,2302,1995,-1.6441374
Starch residues,2303 HS92,$285k,$1.74B,0.0097,Agriculture,0.285,1740,1.74,2303,1995,-0.45766452
Solid soybean residues,2304 HS92,$1.45M,$5.86B,0.0147,Agriculture,1.45,5860,5.86,2304,1995,-0.5598251
Solid vegetable oil and fat residues,2306 HS92,$589k,$1.54B,0.0228,Agriculture,0.589,1540,1.54,2306,1995,-1.8346238
Animal feed,2309 HS92,$104M,$7.02B,0.896,Agriculture,104,7020,7.02,2309,1995,-0.24620166
Unmanufactured tobacco,2401 HS92,$54.8M,$5.18B,0.636,Agriculture,54.8,5180,5.18,2401,1995,-1.5972763
Cigars and cigarettes,2402 HS92,$312M,$15.9B,1.23,Agriculture,312,15900,15.9,2402,1995,-0.74280924
Other manufactured tobacco,2403 HS92,$35.0M,$1.69B,1.24,Agriculture,35,1690,1.69,2403,1995,-0.050354034
Salt,2501 HS92,$5.92M,$1.14B,0.316,Minerals,5.92,1140,1.14,2501,1995,-0.9305295
"Sulphur, crude",2503 HS92,$2.78M,$985M,0.169,Minerals,2.78,985,0.985,2503,1995,-1.1927161
Natural sands,2505 HS92,$3.55M,$759M,0.284,Minerals,3.55,759,0.759,2505,1995,-0.48624626
Kaolin,2507 HS92,$213k,$1.37B,0.0093,Minerals,0.213,1370,1.37,2507,1995,-0.25050965
Clays,2508 HS92,$554k,$821M,0.0406,Minerals,0.554,821,0.821,2508,1995,-0.10325009
Natural calcium phosphates,2510 HS92,$1.57M,$1.18B,0.0837,Minerals,1.57,1180,1.18,2510,1995,-1.1106749
Marble,2515 HS92,$627k,$351M,0.107,Minerals,0.627,351,0.351,2515,1995,-1.2212508
Granite,2516 HS92,$9.03M,$1.06B,0.51,Minerals,9.03,1060,1.06,2516,1995,-0.9259116
Gravel,2517 HS92,$1.57M,$1.25B,0.0753,Minerals,1.57,1250,1.25,2517,1995,-0.042087246
Natural magnesia,2519 HS92,$946k,$1.04B,0.0554,Minerals,0.946,1040,1.04,2519,1995,0.07957942
Gypsum,2520 HS92,$861k,$532M,0.0983,Minerals,0.861,532,0.532,2520,1995,-0.7592472
Cements,2523 HS92,$9.74M,$4.80B,0.123,Minerals,9.74,4800,4.8,2523,1995,-0.88759416
Feldspar,2529 HS92,$148k,$433M,0.0207,Minerals,0.148,433,0.433,2529,1995,-0.83548295
Mineral substances n.e.c.,2530 HS92,$1.73M,$790M,0.132,Minerals,1.73,790,0.79,2530,1995,-0.714535
Iron ores and concentrates,2601 HS92,$556k,$10.1B,0.0033,Minerals,0.556,10100,10.1,2601,1995,-1.006951
Manganese > 47% by weight,2602 HS92,$644k,$563M,0.0683,Minerals,0.644,563,0.563,2602,1995,-1.5755571
Aluminum ore,2606 HS92,$309k,$1.02B,0.02,Minerals,0.309,1020,1.02,2606,1995,-1.4167918
Lead ore,2607 HS92,$78.4k,$485M,0.0096,Minerals,0.0784,485,0.485,2607,1995,-0.93154955
Zinc ore,2608 HS92,$2.09M,$1.79B,0.0697,Minerals,2.09,1790,1.79,2608,1995,-0.8007011
Chromium ore,2610 HS92,$30.1k,$382M,0.0047,Minerals,0.0301,382,0.382,2610,1995,-2.1446881
Uranium ore,2612 HS92,$1.44k,$292M,0.0003,Minerals,0.00144,292,0.292,2612,1995,-1.4703072
Molybdenum ore,2613 HS92,$3.43M,$1.60B,0.128,Minerals,3.43,1600,1.6,2613,1995,-0.65006757
Titanium ore,2614 HS92,$45.4k,$707M,0.0038,Minerals,0.0454,707,0.707,2614,1995,-1.2270617
Zirconium ore,2615 HS92,$105k,$522M,0.0127,Minerals,0.105,522,0.522,2615,1995,-2.3314788
Precious metal ores,2616 HS92,$1.45M,$548M,0.157,Minerals,1.45,548,0.548,2616,1995,-1.3855188
"Slag, ash and residues containing metals",2620 HS92,$18.3M,$1.34B,0.83,Minerals,18.3,1340,1.34,2620,1995,-0.60068023
Coal,2701 HS92,$3.23M,$20.0B,0.0096,Minerals,3.23,20000,20,2701,1995,-0.43666995
Peat,2703 HS92,$442k,$543M,0.0484,Minerals,0.442,543,0.543,2703,1995,0.4290380999999999
Coke,2704 HS92,$819k,$2.27B,0.0215,Minerals,0.819,2270,2.27,2704,1995,-0.28941005
Oils etc. from high temperature coal tar,2707 HS92,$3.67M,$2.61B,0.0856,Minerals,3.67,2610,2.61,2707,1995,-0.20978023
Pitch and pitch coke,2708 HS92,$239k,$470M,0.0311,Minerals,0.239,470,0.47,2708,1995,0.56592786
"Petroleum oils, crude",2709 HS92,$4.43M,$188B,0.0014,Minerals,4.43,188000,188,2709,1995,-2.4870963
"Petroleum oils, refined",2710 HS92,$116M,$122B,0.0602,Minerals,116,122000,122,2710,1995,-1.2602261
Petroleum gases,2711 HS92,$12.3M,$42.9B,0.0199,Minerals,12.3,42900,42.9,2711,1995,-1.2390257
Petroleum jelly,2712 HS92,$1.03M,$1.02B,0.0634,Minerals,1.03,1020,1.02,2712,1995,-0.2783457
Petroleum coke,2713 HS92,$2.10M,$2.53B,0.0499,Minerals,2.1,2530,2.53,2713,1995,-0.52859807
"Bitumen and asphalt, natural",2714 HS92,$627k,$314M,0.128,Minerals,0.627,314,0.314,2714,1995,-1.1658244
Bituminous mixtures,2715 HS92,$4.26M,$295M,0.86,Minerals,4.26,295,0.295,2715,1995,-0.24780741
Electrical energy,2716 HS92,$419M,$8.41B,3.01,Minerals,419,8410,8.41,2716,1995,-0.016632106
Carbon,2803 HS92,$209k,$1.10B,0.0115,Chemicals,0.209,1100,1.1,2803,1995,0.2209009
Silicon & rare gases,2804 HS92,$3.37M,$2.18B,0.0944,Chemicals,3.37,2180,2.18,2804,1995,-0.17313123
"Sulfiric acid, oleum",2807 HS92,$8.95M,$419M,1.3,Chemicals,8.95,419,0.419,2807,1995,-0.020396847
Phosphoric acid etc.,2809 HS92,$5.04M,$1.44B,0.208,Chemicals,5.04,1440,1.44,2809,1995,-0.28183937
Other inorganic acids,2811 HS92,$8.59M,$1.34B,0.398,Chemicals,8.59,1340,1.34,2811,1995,0.44856435
Ammonia,2814 HS92,$8.57M,$2.45B,0.209,Chemicals,8.57,2450,2.45,2814,1995,-0.89996094
Sodium hydroxide,2815 HS92,$4.72M,$2.19B,0.142,Chemicals,4.72,2190,2.19,2815,1995,-0.01770713
Aluminum oxide,2818 HS92,$9.90M,$6.38B,0.0979,Chemicals,9.9,6380,6.38,2818,1995,-1.177435
Iron oxides and hydroxides,2821 HS92,$631k,$836M,0.0457,Chemicals,0.631,836,0.836,2821,1995,2.1166663
Cobalt oxides and hydroxides,2822 HS92,$630k,$275M,0.14,Chemicals,0.63,275,0.275,2822,1995,-0.5481672
"Metal base oxides, n.e.c.",2825 HS92,$3.18M,$1.39B,0.141,Chemicals,3.18,1390,1.39,2825,1995,0.19585983
Flourides,2826 HS92,$1.62M,$426M,0.228,Chemicals,1.62,426,0.426,2826,1995,0.16132779999999997
"Chlorides, bromides, iodides etc.",2827 HS92,$7.96M,$878M,0.547,Chemicals,7.96,878,0.878,2827,1995,0.7382234000000001
Sulfates,2833 HS92,$2.28M,$1.04B,0.135,Chemicals,2.28,1040,1.04,2833,1995,-0.21297045
"Nitrites, nitrates",2834 HS92,$370k,$413M,0.0541,Chemicals,0.37,413,0.413,2834,1995,-0.06754461
Phosphates,2835 HS92,$7.13M,$1.54B,0.284,Chemicals,7.13,1540,1.54,2835,1995,0.2732593
Carbonates,2836 HS92,$11.0M,$2.19B,0.306,Chemicals,11,2190,2.19,2836,1995,-0.25582317
Salts of oxometallic acids,2841 HS92,$1.33M,$626M,0.13,Chemicals,1.33,626,0.626,2841,1995,-0.28154677
Compounds of precious metals,2843 HS92,$131M,$1.21B,6.55,Chemicals,131,1210,1.21,2843,1995,0.18748917
Uranium,2844 HS92,$6.06M,$5.26B,0.0718,Chemicals,6.06,5260,5.26,2844,1995,-0.53060955
Carbides,2849 HS92,$6.36M,$943M,0.426,Chemicals,6.36,943,0.943,2849,1995,0.26987204
Acyclic hydrocarbons,2901 HS92,$5.80M,$5.05B,0.0683,Chemicals,5.8,5050,5.05,2901,1995,-0.10977021
Cyclic hydrocarbons,2902 HS92,$16.5M,$11.5B,0.086,Chemicals,16.5,11500,11.5,2902,1995,0.14135496
Halogenated derivatives of hydrocarbons,2903 HS92,$19.4M,$5.02B,0.238,Chemicals,19.4,5020,5.02,2903,1995,0.49148628
"Sulfonated, nitrated derivatives of hydrocarbons",2904 HS92,$18.6M,$616M,1.81,Chemicals,18.6,616,0.616,2904,1995,0.3672683
Acyclic alcohols,2905 HS92,$74.8M,$10.0B,0.452,Chemicals,74.8,10000,10,2905,1995,-0.20467985
Cyclic alcohols,2906 HS92,$14.1M,$517M,1.68,Chemicals,14.1,517,0.517,2906,1995,0.60276526
"Phenols, phenol-alcohols",2907 HS92,$54.8M,$2.58B,1.29,Chemicals,54.8,2580,2.58,2907,1995,0.95095843
Ethers,2909 HS92,$20.6M,$3.60B,0.345,Chemicals,20.6,3600,3.6,2909,1995,0.6759691999999999
Epoxides,2910 HS92,$6.44M,$1.46B,0.272,Chemicals,6.44,1460,1.46,2910,1995,1.2435825
Aldehydes,2912 HS92,$56.7M,$1.09B,3.19,Chemicals,56.7,1090,1.09,2912,1995,1.0522285
Ketones and quinones,2914 HS92,$153M,$3.02B,3.09,Chemicals,153,3020,3.02,2914,1995,1.0840825
Saturated acyclic monocarboxylic acids,2915 HS92,$70.1M,$5.43B,0.788,Chemicals,70.1,5430,5.43,2915,1995,1.055182
Unsaturated acyclic monocarboxylic acids,2916 HS92,$29.3M,$4.11B,0.449,Chemicals,29.3,4110,4.11,2916,1995,1.3878087
Polycarboxylic acids,2917 HS92,$21.0M,$7.02B,0.193,Chemicals,21,7020,7.02,2917,1995,0.22548070000000003
Carboxylic acids with additional oxygen function,2918 HS92,$280M,$4.07B,4.19,Chemicals,280,4070,4.07,2918,1995,0.75568795
Esters of other inorganic acids of nonmetals,2920 HS92,$18.3M,$792M,1.39,Chemicals,18.3,792,0.792,2920,1995,1.775006
Amine-function compounds,2921 HS92,$218M,$4.38B,3.01,Chemicals,218,4380,4.38,2921,1995,1.2911065000000002
Oxygen-function amino-compounds,2922 HS92,$490M,$5.24B,5.77,Chemicals,490,5240,5.24,2922,1995,0.26167506
Quaternary ammonium salts and hydroxides,2923 HS92,$26.5M,$633M,2.54,Chemicals,26.5,633,0.633,2923,1995,1.771614
Carboxyamide-function compounds,2924 HS92,$463M,$4.31B,6.45,Chemicals,463,4310,4.31,2924,1995,0.55098957
Carboxyimide-function compounds,2925 HS92,$30.3M,$497M,3.69,Chemicals,30.3,497,0.497,2925,1995,1.1656877
Nitrile-function compounds,2926 HS92,$91.5M,$3.02B,1.86,Chemicals,91.5,3020,3.02,2926,1995,0.94307965
Isocyanates,2929 HS92,$5.23M,$2.37B,0.134,Chemicals,5.23,2370,2.37,2929,1995,0.56586164
Organo-sulfur compounds,2930 HS92,$77.9M,$2.93B,1.6,Chemicals,77.9,2930,2.93,2930,1995,1.0003916
Other organo-inorganic compounds,2931 HS92,$49.1M,$1.89B,1.59,Chemicals,49.1,1890,1.89,2931,1995,1.2547548000000002
Heterocyclic compounds with oxygen hetero-atom(s) only,2932 HS92,$117M,$3.08B,2.28,Chemicals,117,3080,3.08,2932,1995,0.25681645
